No,NamaSungai,TitikPantau,Waktu,pH,Temp,TSS,DO,BOD,COD,Nitrat,FecalColiform,Fosfat,O2,IP,Class
22,Citarum,Wangisagara,13/09/2018,8.43,25.55°C,7.0,6.4,3.76,7.29,0.8,11000.0,0.0063,-,4.46,2
23,Citarum,Koyod,13/09/2018,7.47,25.55°C,14.0,1.3,13.0,42.8,0.59,90000.0,0.1,-,7.79,3
24,Citarum,Setelah IPAL Cisirung,13/09/2018,7.6,25.55°C,19.0,0.72,42.4,106.0,0.67,500000.0,0.33,-,10.55,4
25,Citarum,Nanjung,13/09/2018,7.45,25.55°C,37.0,0.3,52.9,190.0,1.11,900000.0,0.61,-,11.53,4
26,Citarum,Outlet Waduk Jatiluhur,13/09/2018,7.56,25.55°C,5.0,3.75,3.92,9.33,0.73,240.0,0.0043,-,1.14,2
27,Citarum,Bendung Walahar,13/09/2018,7.42,25.55°C,6.0,4.35,4.32,11.2,0.86,1600.0,0.042,-,1.49,2
28,Citarum,Tunggak Jati,13/09/2018,7.99,25.55°C,8.0,3.05,8.97,25.3,2.02,3000.0,0.084,-,2.53,2
29,Citarum,Wangisagara,10/10/2018,7.5,25.55°C,7.0,6.75,2.94,8.81,0.98,17000.0,0.0043,-,5.12,3
30,Citarum,Koyod,10/10/2018,7.23,25.55°C,9.0,0.98,21.0,76.4,1.03,240000.0,0.012,-,9.34,3
31,Citarum,Setelah IPAL Cisirung,10/10/2018,7.47,25.55°C,12.0,0.72,48.4,107.0,1.8,300000.0,0.64,-,9.81,3
32,Citarum,Nanjung,10/10/2018,7.37,25.55°C,14.0,0.5,55.3,157.0,2.89,300000.0,0.92,-,9.86,3
33,Citarum,Outlet Waduk Jatiluhur,10/10/2018,7.1,25.55°C,5.0,3.1,3.51,9.87,0.56,2400.0,0.16,-,2.12,2
34,Citarum,Bendung Walahar,10/10/2018,7.2,25.55°C,7.0,3.2,3.07,7.36,0.98,3000.0,0.089,-,2.45,2
35,Citarum,Tunggak Jati,10/10/2018,7.85,25.55°C,16.0,2.35,8.95,21.8,1.2,30000.0,0.058,-,6.06,3
36,Citarum,Wangisagara,29/03/2019,7.64,25.55°C,20.0,7.75,3.0,12.0,3.4,4300.0,0.19,-,3.02,2
37,Citarum,Koyod,29/03/2019,7.47,25.55°C,131.0,5.96,3.0,7.0,2.1,4300.0,0.16,-,3.07,2
38,Citarum,Setelah IPAL Cisirung,29/03/2019,6.92,25.55°C,97.0,2.34,5.0,28.0,2.3,24000.0,0.17,-,5.75,3
39,Citarum,Nanjung,29/03/2019,6.91,25.55°C,171.0,1.6,5.0,28.0,2.6,24000.0,0.17,-,5.78,3
40,Citarum,Outlet Waduk Jatiluhur,29/03/2019,7.42,25.55°C,20.0,2.26,2.0,10.0,0.8,1100.0,0.36,-,1.68,2
41,Citarum,Bendung Walahar,29/03/2019,7.64,25.55°C,318.0,6.27,5.0,8.0,0.9,700.0,0.27,-,3.66,2
42,Citarum,Tunggak Jati,29/03/2019,7.74,25.55°C,301.0,5.68,4.0,17.0,1.3,2100.0,0.17,-,3.6,2
43,Citarum,Wangisagara,26/06/2019,8.64,25.55°C,31.0,1.0,2.0,7.0,1.0,12000.0,0.15,-,4.61,2
44,Citarum,Koyod,26/06/2019,7.62,25.55°C,52.0,1.4,23.0,77.0,0.8,487000.0,0.22,-,10.47,4
45,Citarum,Setelah IPAL Cisirung,26/06/2019,6.92,25.55°C,36.0,1.2,18.0,37.0,1.3,75000.0,0.16,-,7.54,3
46,Citarum,Nanjung,26/06/2019,6.62,25.55°C,41.0,1.0,44.0,102.0,0.8,2909000.0,0.4,-,13.29,4
47,Citarum,Outlet Waduk Jatiluhur,26/06/2019,7.06,25.55°C,20.0,1.1,2.0,7.0,0.9,145.0,0.4,-,1.82,2
48,Citarum,Bendung Walahar,26/06/2019,6.87,25.55°C,20.0,1.0,3.0,7.0,1.3,5794.0,0.27,-,3.5,2
49,Citarum,Tunggak Jati,26/06/2019,7.6,25.55°C,31.0,5.2,6.0,25.0,1.5,5200.0,0.16,-,3.35,2
50,Citarum,Wangisagara,28/08/2019,8.71,25.55°C,20.0,7.8,2.0,7.0,1.0,21300.0,0.16,-,5.48,3
51,Citarum,Koyod,28/08/2019,7.65,25.55°C,136.0,3.9,36.0,121.0,0.9,1340000.0,0.16,-,12.1,4
52,Citarum,Setelah IPAL Cisirung,28/08/2019,7.39,25.55°C,30.0,1.5,25.0,58.0,1.1,1830000.0,0.21,-,12.49,4
53,Citarum,Nanjung,28/08/2019,7.36,25.55°C,36.0,1.0,32.0,81.0,1.6,7450000.0,0.23,-,14.69,4
54,Citarum,Outlet Waduk Jatiluhur,28/08/2019,6.97,25.55°C,20.0,1.0,3.0,8.0,1.5,980.0,0.16,-,0.81,1
55,Citarum,Bendung Walahar,28/08/2019,6.92,25.55°C,20.0,1.2,2.0,7.0,1.3,520.0,0.16,-,0.65,1
56,Citarum,Tunggak Jati,28/08/2019,7.39,25.55°C,22.0,4.7,7.0,14.0,1.8,33200.0,0.16,-,6.2,3
57,Citarum,Cisanti ,01/07/2020,7.53,25.55°C,7.0,4.05,2.41,18.3,0.81,920.0,0.0043,-,0.7,1
58,Citarum,Wangisagara,01/07/2020,8.05,25.55°C,12.0,4.02,2.97,24.7,0.91,3500.0,0.0043,-,2.7,2
59,Citarum,Koyod,01/07/2020,6.5,25.55°C,16.0,3.5,4.75,38.0,3.46,24000.0,0.0064,-,5.71,3
60,Citarum,Setelah IPAL Cisirung,01/07/2020,6.84,25.55°C,18.0,2.94,12.6,88.0,2.71,92000.0,0.092,-,7.86,3
61,Citarum,Nanjung,01/07/2020,7.41,25.55°C,16.0,2.62,10.3,71.2,1.61,54000.0,0.1,-,7.02,3
62,Citarum,Outlet Waduk Jatiluhur,01/07/2020,6.97,25.55°C,5.0,4.02,2.91,24.1,0.45,1100.0,0.14,-,0.94,1
63,Citarum,Bendung Walahar,01/07/2020,6.95,25.55°C,11.0,4.02,2.79,24.6,0.5,1200.0,0.16,-,1.08,2
64,Citarum,Tunggak Jati,01/07/2020,8.6,25.55°C,18.0,3.34,5.8,45.4,1.75,1700.0,0.16,-,1.9,2
65,Citarum,Cisanti ,01/10/2020,7.26,25.55°C,6.0,4.09,2.16,16.9,0.53,840.0,0.0043,-,0.64,1
66,Citarum,Wangisagara,01/10/2020,7.45,25.55°C,5.0,4.04,2.95,24.5,0.5,920.0,0.0043,-,0.76,1
67,Citarum,Koyod,01/10/2020,7.1,25.55°C,12.0,3.9,4.54,36.3,2.76,940.0,0.0043,-,1.44,2
68,Citarum,Setelah IPAL Cisirung,01/10/2020,7.2,25.55°C,10.0,3.54,6.35,50.6,1.48,920.0,0.08,-,1.97,2
69,Citarum,Nanjung,01/10/2020,7.14,25.55°C,13.0,2.9,8.45,67.6,1.58,920.0,0.038,-,2.42,2
70,Citarum,Outlet Waduk Jatiluhur,01/10/2020,6.3,25.55°C,5.0,4.05,2.9,23.9,0.37,940.0,0.1,-,0.79,1
71,Citarum,Bendung Walahar,01/10/2020,6.58,25.55°C,5.0,4.05,2.95,24.4,0.26,940.0,0.0043,-,0.78,1
72,Citarum,Tunggak Jati,01/10/2020,6.59,25.55°C,15.0,4.25,2.98,24.5,1.1,940.0,0.0043,-,0.79,1
73,Citarum,Cisanti ,19/05/2021,7.74,25.55°C,11.0,5.12,1.8,5.71,0.44,920.0,0.0043,-,0.68,1
74,Citarum,Wangisagara,19/05/2021,7.36,25.55°C,15.0,4.76,1.86,6.13,1.46,16000.0,0.015,-,5.02,3
75,Citarum,Koyod,19/05/2021,7.72,25.55°C,22.0,2.88,4.11,28.2,1.62,540000.0,0.053,-,10.5,4
76,Citarum,Setelah IPAL Cisirung,19/05/2021,7.86,25.55°C,28.0,2.47,5.29,30.8,1.73,9200000.0,0.078,-,14.9,4
77,Citarum,Nanjung,19/05/2021,7.53,25.55°C,34.0,2.31,6.12,42.2,1.87,1100000.0,0.11,-,11.63,4
78,Citarum,Outlet Waduk Jatiluhur,19/05/2021,7.31,25.55°C,20.0,4.39,2.88,15.2,1.29,2800.0,0.02,-,2.34,2
79,Citarum,Bendung Walahar,19/05/2021,7.27,25.55°C,27.0,2.84,4.16,27.9,1.64,70000.0,16.0,-,7.75,3
80,Citarum,Tunggak Jati,19/05/2021,7.47,25.55°C,33.0,2.69,5.18,32.4,2.66,540000.0,0.23,-,10.53,4
81,Citarum,Cisanti ,03/08/2021,7.95,25.55°C,8.0,5.22,1.92,5.88,0.98,540.0,0.0043,-,0.49,1
82,Citarum,Wangisagara,03/08/2021,7.61,25.55°C,13.0,5.9,1.77,6.04,1.34,9200.0,0.0043,-,4.16,2
83,Citarum,Koyod,03/08/2021,7.36,25.55°C,27.0,3.6,3.42,22.9,1.24,11000.0,0.0043,-,4.47,2
84,Citarum,Setelah IPAL Cisirung,03/08/2021,7.58,25.55°C,31.0,1.3,5.76,34.1,2.45,160000.0,0.084,-,8.65,3
85,Citarum,Nanjung,03/08/2021,7.38,25.55°C,37.0,2.5,6.73,47.4,1.22,540000.0,0.5,-,10.58,4
86,Citarum,Outlet Waduk Jatiluhur,03/08/2021,6.56,25.55°C,22.0,4.27,2.93,17.4,1.37,1100.0,0.015,-,0.94,1
87,Citarum,Bendung Walahar,03/08/2021,6.68,25.55°C,16.0,4.64,2.64,15.6,1.38,7000.0,0.05,-,3.77,2
88,Citarum,Tunggak Jati,03/08/2021,6.67,25.55°C,36.0,4.62,4.32,33.1,3.46,92000.0,0.24,-,7.8,3
89,Citarum,Cisanti ,05/10/2021,7.54,25.55°C,5.0,7.08,1.72,7.3,0.67,540.0,0.0043,-,0.43,1
90,Citarum,Wangisagara,05/10/2021,7.69,25.55°C,7.0,6.08,1.64,6.44,0.92,790.0,0.032,-,0.59,1
91,Citarum,Koyod,05/10/2021,7.35,25.55°C,18.0,4.8,2.37,16.2,2.94,2400.0,0.026,-,2.11,2
92,Citarum,Setelah IPAL Cisirung,05/10/2021,7.53,25.55°C,20.0,4.25,2.46,18.2,3.1,3500.0,0.021,-,2.69,2
93,Citarum,Nanjung,05/10/2021,7.44,25.55°C,11.0,4.12,2.57,20.3,3.34,16000.0,0.018,-,5.04,3
94,Citarum,Outlet Waduk Jatiluhur,05/10/2021,7.11,25.55°C,17.0,4.68,2.67,15.7,2.97,790.0,0.018,-,0.7,1
95,Citarum,Bendung Walahar,05/10/2021,7.16,25.55°C,11.0,4.89,2.48,12.8,2.81,54000.0,0.041,-,6.92,3
96,Citarum,Tunggak Jati,05/10/2021,7.1,25.55°C,14.0,4.7,2.64,19.6,2.76,63000.0,0.048,-,7.16,3
97,Citarum,Cisanti ,01/04/2022,7.36,25.55°C,8.0,5.1,2.05,10.8,1.16,170.0,0.14,-,0.54,1
98,Citarum,Wangisagara,01/04/2022,7.8,25.55°C,15.0,5.3,2.11,16.1,1.29,3500.0,0.14,-,2.69,2
99,Citarum,Koyod,01/04/2022,7.71,25.55°C,15.0,5.2,2.31,22.6,3.66,17000.0,0.14,-,5.14,3
100,Citarum,Setelah IPAL Cisirung,01/04/2022,7.31,25.55°C,18.0,4.33,2.11,22.6,3.5,24000.0,0.16,-,5.68,3
101,Citarum,Nanjung,01/04/2022,7.54,25.55°C,14.0,4.2,2.51,21.8,3.75,35000.0,0.15,-,6.26,3
102,Citarum,Outlet Waduk Jatiluhur,01/04/2022,7.43,25.55°C,9.0,5.36,2.38,15.5,2.62,3500.0,0.18,-,2.7,2
103,Citarum,Bendung Walahar,01/04/2022,7.37,25.55°C,16.0,6.92,2.38,21.7,4.55,35000.0,0.14,-,6.26,3
104,Citarum,Tunggak Jati,01/04/2022,7.72,25.55°C,12.0,5.13,2.74,22.8,4.66,70000.0,0.16,-,7.33,3
105,Citarum,Cisanti ,01/07/2022,7.5,25.55°C,10.0,5.8,2.27,12.9,0.62,210.0,0.014,-,0.56,1
106,Citarum,Wangisagara,01/07/2022,7.43,25.55°C,18.0,5.17,1.96,15.0,3.55,2200.0,0.15,-,1.98,2
107,Citarum,Koyod,01/07/2022,7.45,25.55°C,15.0,4.18,2.92,24.6,5.24,92000.0,0.18,-,7.76,3
108,Citarum,Setelah IPAL Cisirung,01/07/2022,7.35,25.55°C,22.0,2.76,2.88,21.2,4.65,400000.0,0.17,-,10.03,4
109,Citarum,Nanjung,01/07/2022,7.4,25.55°C,32.0,4.24,2.8,21.3,3.75,170000.0,0.15,-,8.71,3
110,Citarum,Outlet Waduk Jatiluhur,01/07/2022,7.03,25.55°C,11.0,5.17,2.74,18.4,2.54,4500.0,0.14,-,3.09,2
111,Citarum,Bendung Walahar,01/07/2022,7.16,25.55°C,10.0,4.3,2.76,19.1,4.88,45000.0,0.14,-,6.65,3
112,Citarum,Tunggak Jati,01/07/2022,7.31,25.55°C,34.0,4.95,2.78,24.2,4.82,84000.0,0.14,-,7.62,3
113,Citarum,Wangisagara,1/1/2018,6.64082766197699,25.55°C,24.1744438001648,2.62202551347392,2.8359233375042,29.4152653584399,2.32758568071535,612.775048066653,0.064101687673574,-,1.05,2
114,Citarum,Koyod,1/2/2018,7.86034730063784,25.55°C,31.7464522232734,3.85636738181707,5.85905941953795,29.2931913205359,0.927762688070315,175.247962889492,0.0411194189275796,-,1.8,2
115,Citarum,Setelah IPAL Cisirung,1/3/2018,7.90740684224982,25.55°C,20.0273445844905,3.1191381572924,3.78458204901273,18.1136509292886,3.34617145298624,157.417523728141,0.0862465285195471,-,1.13,2
116,Citarum,Nanjung,1/4/2018,6.90267647328105,25.55°C,26.6877040925321,5.78680959501938,2.51716666158025,27.8783532212287,1.1904660176397,266.168706320383,0.0388357188634907,-,0.93,1
117,Citarum,Outlet Waduk Jatiluhur,1/5/2018,6.7483748893704,25.55°C,22.7202978606525,3.4094177068392,3.3587420270394,15.1283303323466,3.09140293588061,657.017731254006,0.0426361888485366,-,0.96,1
118,Citarum,Bendung Walahar,1/6/2018,6.99282815027314,25.55°C,27.01339762566,7.7346067690054,2.1636341441084,18.0697042756432,0.88967558824427,860.110782189398,0.0350950651570177,-,0.68,1
119,Citarum,Tunggak Jati,1/7/2018,7.08560441908017,25.55°C,35.6708883938109,3.81642719809565,5.0665639210181,22.1927549058504,1.58354441969054,268.63307596057,0.0553962828455458,-,1.57,2
120,Citarum,Cisanti ,1/8/2018,6.81643116550188,25.55°C,20.9555955687124,5.96939329203162,3.53498336741234,19.9179052095096,1.4598834192938,480.655842768639,0.0786669515060885,-,1.03,2
121,Citarum,Wangisagara,1/9/2018,7.13461714529862,25.55°C,35.7265541550951,2.87046296578875,3.46031373027741,19.6536149174474,1.28324228644673,983.445234534745,0.0496966460158086,-,1.02,2
122,Citarum,Koyod,1/10/2018,6.03375347148045,25.55°C,26.3405255287332,4.41267708365124,3.65623950926237,22.133548997467,1.4780724509415,528.058717612232,0.0789938047425764,-,1.11,2
123,Citarum,Setelah IPAL Cisirung,1/11/2018,7.61766411328471,25.55°C,21.3076570940275,4.39294473097934,4.41015350810266,18.371227149266,1.83440656758324,52.2904141361736,0.0742234565263833,-,1.34,2
124,Citarum,Nanjung,1/12/2018,7.49375896481216,25.55°C,25.2193975646229,3.75818109683523,5.10042115543077,22.4063844721824,0.136112552262947,679.255043183691,0.0733454390087588,-,1.58,2
125,Citarum,Outlet Waduk Jatiluhur,1/13/2018,6.56752220221564,25.55°C,35.3168736838893,3.4186895352031,5.49266640217292,10.7171849726859,2.53865169225135,701.66631061739,0.0840589617603076,-,1.71,2
126,Citarum,Bendung Walahar,1/14/2018,6.48475600451674,25.55°C,30.7097994933927,4.66658253730888,3.81988280892361,18.5488448744163,3.14792321543016,692.881557664724,0.0351591540269173,-,1.16,2
127,Citarum,Tunggak Jati,1/15/2018,6.58186590166936,25.55°C,21.939024018067,0.261037629322184,4.69767754142888,24.7227393414106,0.649555955687124,814.447462385937,0.0346848963896603,-,1.48,2
128,Citarum,Cisanti ,1/16/2018,7.95043794061098,25.55°C,24.6417432172613,3.69827082125309,3.42356944486831,23.3201086458937,3.81810968352306,777.771843623158,0.0549797051911985,-,1.0,2
129,Citarum,Wangisagara,1/17/2018,6.24707785271767,25.55°C,33.5067598498489,7.38441694387646,4.1062257759331,27.8008362071596,0.305917538987396,437.688833277383,0.0503845332193976,-,1.27,2
130,Citarum,Koyod,1/18/2018,7.00485244300668,25.55°C,29.5491195410016,4.24958800012207,2.21061433759575,28.6468092898343,3.82177190466018,731.412701803644,0.0816171758171331,-,1.01,2
131,Citarum,Setelah IPAL Cisirung,1/19/2018,6.22455519272439,25.55°C,32.8490249336222,7.6197787408063,2.98749351481674,27.9271828363903,3.45896786400952,185.076448866237,0.0416321298867763,-,0.96,1
132,Citarum,Nanjung,1/20/2018,7.77684865871151,25.55°C,22.6592608417005,5.2473793755913,5.09648426770837,20.5960264900662,0.624408703878903,178.814050721763,0.0672634052552873,-,1.57,2
133,Citarum,Outlet Waduk Jatiluhur,1/21/2018,7.41459395123142,25.55°C,28.120853297525,0.771701406903287,5.57101046784875,13.1574449903867,3.00314340647603,880.115665150914,0.0378786584063234,-,1.72,2
134,Citarum,Bendung Walahar,1/22/2018,6.83193456831568,25.55°C,28.98660237434,2.42874355296487,2.93198339793085,27.4700155644398,1.91924802392651,463.405255287332,0.0948985259559923,-,0.95,1
135,Citarum,Tunggak Jati,1/23/2018,6.94631794183172,25.55°C,28.8498794518876,4.92096346934416,2.08056581316569,27.4352244636372,1.98138370921964,173.131504257332,0.0680687887203589,-,0.91,1
136,Citarum,Cisanti ,1/24/2018,6.42841883602405,25.55°C,27.2477797784356,0.171885433515427,5.83478194524979,12.142399365215,0.463270973845637,326.415295876949,0.0884148686178167,-,1.8,2
137,Citarum,Wangisagara,1/25/2018,6.73189489425336,25.55°C,29.9905392620624,4.89291024506363,3.93759575182348,14.2793053987243,3.71373638111515,460.100100711081,0.0352296517838069,-,1.19,2
138,Citarum,Koyod,1/26/2018,7.89526047547838,25.55°C,28.2565996276742,3.86040894802698,4.98756370738853,18.8851588488418,3.7705008087405,580.738242744224,0.0939371929074984,-,1.56,2
139,Citarum,Setelah IPAL Cisirung,1/27/2018,6.2143620105594,25.55°C,21.0581377605518,2.22262367625965,3.44797814874722,22.6364940336314,2.48713644825587,772.379222998749,0.0671950437940611,-,1.02,2
140,Citarum,Nanjung,1/28/2018,6.73867000335704,25.55°C,34.5956602679525,6.9600524918363,3.6282876064333,16.8337046418653,2.74434644611957,256.311227759636,0.0537684255500961,-,1.06,2
141,Citarum,Outlet Waduk Jatiluhur,1/29/2018,6.99288918729209,25.55°C,33.9310892056032,1.36604937894833,4.47445600756859,13.426618243965,3.54625080111087,744.28540910062,0.0465520187994018,-,1.4,2
142,Citarum,Bendung Walahar,1/30/2018,6.93166905728324,25.55°C,20.7651600695822,3.07705832087161,5.60932950834681,29.47874385815,2.03546250801111,836.945707571642,0.0409848323007904,-,1.75,2
143,Citarum,Tunggak Jati,1/31/2018,7.46348460341197,25.55°C,23.7017731254006,6.90965178380688,4.23443708609272,23.6631366924039,1.03677480391858,286.289559617908,0.0534394360179449,-,1.28,2
144,Citarum,Cisanti ,2/1/2018,6.46699423200171,25.55°C,26.6862392040773,3.24870601519822,3.97184667500839,24.5927304910428,3.16281624805445,490.136417737358,0.0414954069643239,-,1.23,2
145,Citarum,Wangisagara,2/2/2018,7.72875148777734,25.55°C,28.0002441480758,7.2714908291879,2.06219367046113,29.8602252265999,1.78374584185308,95.8082827234718,0.0680239265114292,-,1.04,2
146,Citarum,Koyod,2/3/2018,7.91882076479385,25.55°C,24.3111667226173,1.48634540849025,5.40854823450423,24.3705557420576,1.75798821985534,183.336893826106,0.060480666524247,-,1.67,2
147,Citarum,Setelah IPAL Cisirung,2/4/2018,6.04705954161199,25.55°C,29.455854976043,0.931699880977813,5.99251991332743,16.4516129032258,3.82140568254646,263.936277352214,0.0496133304849391,-,1.85,2
148,Citarum,Nanjung,2/5/2018,6.6946012756737,25.55°C,23.2823267311625,2.87093844416639,2.79773552659688,23.7131870479446,1.17874691000092,697.288430433058,0.0898440504165777,-,0.78,1
149,Citarum,Outlet Waduk Jatiluhur,2/6/2018,7.27091280861843,25.55°C,31.544785912656,4.68346201971496,4.98428296761986,10.3869747001556,3.94653157139805,332.735679189428,0.0498825037385174,-,1.54,2
150,Citarum,Bendung Walahar,2/7/2018,6.13653981139561,25.55°C,24.9615771965697,1.62494735557115,2.04618366039003,18.0678731650746,0.676412244026002,662.35236671041,0.0717816705832087,-,0.75,1
151,Citarum,Tunggak Jati,2/8/2018,6.30201116977447,25.55°C,35.8134708700827,1.86506393627735,1.95930967131565,22.6877651295511,0.729392376476333,113.348796044801,0.0424118778038881,-,0.73,1
152,Citarum,Cisanti ,2/9/2018,6.88045899838252,25.55°C,28.8196050904874,6.08303262428663,3.68287911618397,23.527024140141,3.81664479506821,772.495193334758,0.0593612475966674,-,1.11,2
153,Citarum,Wangisagara,2/10/2018,6.83346049378948,25.55°C,32.5160069582202,1.37175511947996,3.19234290597247,13.8587603381451,0.893704031495102,288.724936674093,0.0734842982268746,-,0.88,1
154,Citarum,Koyod,2/11/2018,6.17041535691397,25.55°C,31.085787530137,5.19959379863887,4.26947538682211,23.481246375927,0.417615283669546,244.076357310709,0.0367442854091006,-,1.32,2
155,Citarum,Setelah IPAL Cisirung,2/12/2018,6.78933072908719,25.55°C,28.9846491897336,3.54112521744438,2.13581347087008,25.2537614062929,2.26508377330851,185.656300546281,0.0534693441572314,-,0.8,1
156,Citarum,Nanjung,2/13/2018,7.38981292153691,25.55°C,26.7033295693838,7.26126804406873,3.35099948118534,20.5490279854732,3.40867336039308,252.890102847377,0.0585644093142491,-,0.93,1
157,Citarum,Outlet Waduk Jatiluhur,2/14/2018,6.17725150303659,25.55°C,22.5762504959258,4.79329752494888,5.88688009277627,25.2348399304178,2.0903958250679,55.7405316324351,0.0981157872249519,-,1.81,2
158,Citarum,Bendung Walahar,2/15/2018,7.16867580187384,25.55°C,26.0460829493088,6.39922574541459,5.71037629322184,12.2247993408002,3.19846186712241,167.217017120884,0.0980645161290323,-,1.74,2
159,Citarum,Tunggak Jati,2/16/2018,7.77257606738487,25.55°C,31.8304391613514,0.987568590350047,2.77490157780694,19.8184148686178,3.94384594256417,296.263008514664,0.0480816064943388,-,0.74,1
160,Citarum,Cisanti ,2/17/2018,7.30771813104648,25.55°C,21.5171361430708,6.7515552232429,2.04395275734733,26.2218085268716,0.911282692953276,973.007904293954,0.096425977355266,-,0.85,1
161,Citarum,Wangisagara,2/18/2018,7.41880550553911,25.55°C,32.4867091891232,6.99072084719382,4.4924344615009,24.842982268746,0.161626026184881,263.298440504166,0.0672228156376843,-,1.38,2
162,Citarum,Koyod,2/19/2018,7.66539506210517,25.55°C,32.0413830988495,7.00569841608936,1.89618823816645,29.3438520462661,2.66035950804163,569.924008911405,0.0592928861354412,-,1.01,2
163,Citarum,Setelah IPAL Cisirung,2/20/2018,7.99749748222297,25.55°C,26.3234351634266,4.48661397137364,2.54065675832392,23.1754509109775,0.28797265541551,125.87359233375,0.0688805810724204,-,0.72,1
164,Citarum,Nanjung,2/21/2018,6.35077974791711,25.55°C,25.6315195165868,0.824954985198523,2.88106631672109,24.3919186986908,0.41468550675985,280.491042817469,0.0401730399487289,-,0.79,1
165,Citarum,Outlet Waduk Jatiluhur,2/22/2018,6.54603717154454,25.55°C,30.2669148838771,4.01684133426923,3.06518143253884,28.4582049012726,1.86284981841487,223.955504013184,0.0787823114719077,-,0.99,1
166,Citarum,Bendung Walahar,2/23/2018,7.28348643452254,25.55°C,25.6100344859157,5.84172734763634,2.76571550645467,15.5653553880428,3.46189764091922,471.784112063967,0.0725208288827174,-,0.72,1
167,Citarum,Tunggak Jati,2/24/2018,6.83504745628224,25.55°C,33.0433668019654,5.99578234199042,2.04697103793451,18.9706106753746,0.551286355174413,818.04254280221,0.0365584276863918,-,0.66,1
168,Citarum,Cisanti ,2/25/2018,6.6884975737785,25.55°C,22.7227393414106,5.48559404278695,5.18138981292154,16.6322824793237,2.47322000793481,612.195196386609,0.0818243964964751,-,1.61,2
169,Citarum,Wangisagara,2/26/2018,7.20407727286599,25.55°C,32.6478469191565,7.27695883053072,2.31520432142094,23.832209234901,2.58711508529923,200.094607379376,0.0794552446058535,-,0.74,1
170,Citarum,Koyod,2/27/2018,7.62791833246864,25.55°C,29.2893459883419,4.66230323191015,3.7385204626606,20.2255317850276,2.25312051759392,593.060090945158,0.0946229438154241,-,1.12,2
171,Citarum,Setelah IPAL Cisirung,2/28/2018,6.84994048890652,25.55°C,30.2014831995605,5.29064790795618,3.03539231543931,11.4337595751823,0.292245246742149,915.834528641621,0.0948942533646657,-,0.81,1
